country,area,location,latitude,longitude,match_type
AUSTRALIA,South Australia,Elliston,-33.649616797,134.889427971,location
AUSTRALIA,Western Australia,"Yallingup, Busselton",-33.661909584,115.044331916,location
AUSTRALIA,Western  Australia,Port Hedland,-20.310004336,118.603394243,location
USA,Florida,"Fort Pierce State Park, St. Lucie County",27.4842788,-80.3052946,location
USA,Florida,"Jensen Beach, Martin County",27.2444691,-80.2252736,location
USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",32.1940212,-80.697698,location
USA,Hawaii,"Marine Corps Base, Oahu",21.44336,-157.74981,location
JAMAICA,Westmoreland Parish,"Little Bay, Little London",18.2209,-78.26588,location
USA,Florida,Indian River County,27.696392600501,-80.57411114419,location
AUSTRALIA,Western Australia,"Melaleuca Beach, Cowaramup Bay, Gracetown,",-33.865178,114.97948,location
USA,Florida,Ormond Beach,29.2774764,-81.0417589,location
AUSTRALIA,Queensland,Britomart Reef,-18.25,146.66667,location
USA,Virgin Islands,"Candle Reef, St. Croix",17.7614,-64.6519,location
NEW ZEALAND,North Island,Pauanui Beach,-37.019051,175.868902,location
PAPUA NEW GUINEA,Central Province,Ragelapara reef,-10.28581,148.33007,location
FRENCH POLYNESIA,Moorea,Afareitu Lagoonarium.,-17.5504219,-149.7906924,location
USA,Florida,"New Smyrna Beach, Volusia County",29.029722,-80.9237495,location
USA,Florida,Off Key Biscayne,25.692497,-80.169556,location
AUSTRALIA,New South Wales,Urunga area,-30.4926582,153.013852,location
NEW ZEALAND,South Island,Oreti Beach,-43.566605,172.758987,location
USA,Florida,"Near Patrick AFB, Brevard County",28.2141861,-80.6105797,location
CHINA,Guizhou Province,Shopping mall aquarium in Guiyang City,25.85357,112.65997,location
USA,California,"Oceanside, San Diego County",33.1959061,-117.3795166,location
USA,New York,Rockaway,40.5817691,-73.8302275,location
SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",-33.01529,27.91162,location
USA,Florida,"Ponce Inlet, Volusia County",29.0970105,-80.9357379,location
BAHAMAS,The Exuma Cays,Compass Cay,24.1732835,-76.4454252,location
AUSTRALIA,Queensland,Clairview,-22.099750787,149.522731441,location
AUSTRALIA,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",-22.617934767,113.713612311,location
NEW CALEDONIA,North Province,Koumac,-20.56667,164.28333,location
USA,South Carolina,"North Myrtle Beach, Horry County",33.8074384,-78.7152584,location
SOUTH AFRICA,Western Cape Province,Ryspunt,-34.60931,20.32919,location
AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",-28.649318443,153.616858651,location
AUSTRALIA,Queensland,Miall Island,-23.15222,150.90443,location
AUSTRALIA,New South Wales,Lake Macquarie,-33.077680019,151.496800606,location
USA,Florida,"Paradise Beach, Melbourne, Brevard County",28.12302,-80.57537,location
USA,Hawaii,"Leftovers, Oahu",21.439542579,-157.94363193,location
AUSTRALIA,New South Wales,East Ballina,-28.861975125,153.585770216,location
USA,Florida,Daytona Beach Shores,29.170157,-80.980442,location
REUNION,Le Port,Folette,-20.934675456472,55.304288918032,location
AUSTRALIA,New South Wales,"Mollymook Beach, Bannister Head",-35.326534413,150.47097877,location
AUSTRALIA,Western Australia,"Pyramids Beach, Port Bouvard",-32.6036296,115.6310248,location
AUSTRALIA,New South Wales,Wallabi Point,-31.994860771,152.57131187,location
USA,South Carolina,"Hilton Head Island, Beaufort County",32.215401,-80.747563,location
USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",34.747675195913,-120.518949481514,location
SOUTH AFRICA,Western Cape Province,Muizenberg,-34.0999,18.45776,location
AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",-34.7731,150.8113,location
AUSTRALIA,New South Wales,Umina Beach,-33.517377822,151.315083629,location
USA,Oregon,"Gleneden Beach, Lincoln County",44.883959,-124.034901,location
USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",40.741892,-124.210936,location
USA,Hawaii,Kona Coast State Park,19.7955984,-156.0213084,location
PALESTINIAN TERRITORIES,Unknown,Gaza,31.5136482,34.4558874,location
JAMAICA,St. Catherine,Pillikin Red Light area,18.0041868,-76.9726131,location
PHILIPPINES,Palawan,Off Likas Island,9.978771967656,118.745126867359,location
USA,Florida,"Melbourne Beach, Brevard County",28.068399,-80.558423,location
AUSTRALIA,Western Australia,Red Bluff near Quobba Station,-24.8982521,113.6920173,location
USA,Florida,"Summerland Key, Monroe County",24.661499,-81.443191,location
USA,Florida,"Bethune Beach, Volusia County",28.9485103,-80.838487,location
AUSTRALIA,Victoria,"Shipwreck Cove, Melbourne Aquarium",-37.8206249,144.9582204,location
USA,Florida,"Palm Beach Inlet, Palm Beach County",26.77229,-80.03726,location
USA,Florida,Crescent Beach St. Johns County,29.768745,-81.253492,location
SOUTH AFRICA,Western Cape Province,Robberg Beach,-34.10461,23.39539,location
SOUTH AFRICA,Eastern Cape Province,"Sundays River Mouth, Port Elizabeth",-33.96109,25.61494,location
USA,Florida,"Stuart, Martin County",27.19957,-80.254878,location
SOUTH AFRICA,Eastern Cape  Province,Port Alfred,-33.58601,26.88329,location
AUSTRALIA,Queensland,Lamont Reef,-23.6,152.03333,location
MOZAMBIQUE,Inhambane Province,Off Vilanculo,-21.82583,34.25556,location
SOUTH AFRICA,Western Cape Province,Glentana,-34.04858,22.31575,location
KENYA,Mombasa,Likoni Channel,-4.089917796262,39.626289116205,location
USA,California,"San Onofre, San Diego County",33.384955,-117.572537,location
USA,California,"San Onofre State Beach, San Diego County",33.3316612,-117.5039968,location
USA,Hawaii,Kona,19.6392883,-155.9943838,location
AUSTRALIA,Victoria,Levys Beach,-37.570464651832,143.879562394637,location
BRAZIL,Pernambuco,"Punta Del Chifre, Olinda",-8.0049002,-34.8511694,location
MEXICO,Quintana Roo,"Delfines Beach, Cancun",21.061598,-86.778954,location
USA,California,"Huntington Beach, Orange County",33.659775,-117.999313,location
BAHAMAS,Northern Bahamas,Dive site known as The End of the Map,25.04082,-77.37122,location
AUSTRALIA,New South Wales,Jimmy's Beach,-32.679,152.1763,location
USA,Florida,Huguenot Park,30.2944108,-81.6241727,location
USA,Florida,Naples,26.1474521,-81.7954521,location
FIJI,Vitu Levu,Sigatoka,-18.1436112,177.4932216,location
AUSTRALIA,Victoria,"6 km off Collendina, south of Melbourne",-37.688764683348,145.089243276295,location
SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",-32.9871232,27.9272688,location
AUSTRALIA,South Australia,Glenelg,-34.979832429,138.513523022,location
AUSTRALIA,Western Australia,"Wreck Point, Abrolhos Islands",-20.61944,117.72778,location
AUSTRALIA,Queensland,Brisbane River,-27.40201,153.15117,location
USA,California,Catalina Island,33.38336,-118.41758,location
AUSTRALIA,South Australia,Adelaide,-34.925704229,138.596146626,location
USA,Florida,"Sebastian Inlet, Indian River or Brevard County",27.860358961891,-80.448469274799,location
REUNION,Saint-Pierre,Pic du Diable,-21.341797838,55.477835926,location
USA,Florida,"South Jacksonville Beach, Duval County",30.258331412651,-81.394225187585,location
TANZANIA,Unknown,"Coco Beach, Dar-es-Salaam",-6.8149233,39.288409,location
USA,North Carolina,"Holden Beach, Brunswick County",33.915334,-78.264155,location
NEW CALEDONIA,North Province,Poum,-20.23333,164.01667,location
ENGLAND,Worcestershire,The Fountain Pub in Tenbury Wells,52.298214,-2.600379,location
THAILAND,Phang nga Province,Phang nga Island,8.529039,98.515909,location
USA,Florida,"Gulfstream Park beach, Palm Beach County",26.698934603672,-80.034644535489,location
USA,Florida,"Sebastian Inlet, Indian River County",27.8603,-80.44727,location
USA,Florida,"Pecks Lake, Martin County",27.1191,-80.14646,location
USA,Florida,"Behune Beach, Volusia County",28.9485103,-80.838487,location
AUSTRALIA,Queensland,Great Keppel Island,-23.1784,150.9482,location
USA,North Carolina,"Emerald Isle, Carteret County",34.665859,-77.030128,location
USA,Georgia,"Tybee Island, Chatham County",31.99241,-80.849252,location
AUSTRALIA,Queensland,Gladstone Reef,-24.385116307109,150.527401070625,location
USA,North Carolina,Carolina Beach,34.034278,-77.893974,location
AUSTRALIA,Queensland,"Hinchinbrook Channel, Queensland",-18.38333,146.16667,location
USA,Hawaii,Waipo,21.410869,-157.999185,location
USA,Hawaii,"Mouth of Wallua River, Kaua'i",22.04155,-159.36049,location
REUNION,Saint-Paul,Cap de la Marianne,-21.066723286679,55.229265521294,location
BRAZIL,Pernambuco,Paiva,-8.2467024,-34.940901,location
USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",26.78506,-80.03754,location
USA,Oregon,"Gold Beach, Curry County",42.412439,-124.420599,location
BRAZIL,Pernambuco,"Boa Viagem, Recife",-8.1147257,-34.8917377,location
MAURITIUS,Unknown,Mahebourg,-20.4081422,57.7060561,location
USA,Florida,Near Port Canaveral Coast Guard Base,28.4162938,-80.62079,location
USA,California,"Horseshoe Reef, Scott Creek, Davenport, Santa Cruz County",37.010602,-122.193818,location
USA,Florida,"Indialantic, Brevard County",28.0894482,-80.5660328,location
USA,Hawaii,"Hanalei Point, Kaua'i",22.2031476,-159.4956482,location
USA,Hawaii,"Kekaha Beach, Kaua'i",21.9642,-159.7089,location
USA,Hawaii,"Waihe'e, Maui",20.9313,-156.50939,location
USA,Florida,"Sanibel Island, Lee County",26.44368,-82.10735,location
SOUTH AFRICA,KwaZulu-Natal,Umdhloti,-29.670887,31.1168842,location
USA,California,"San Miguel Island, Santa Barbara County",34.03972,-120.37543,location
SOUTH AFRICA,KwaZulu-Natal,Umbogintwini,-30.023311833189,30.898610116502,location
ITALY,Tyrrhenian Sea,"Marciana Marina, Isola d'Elba",42.7926,10.2211,location
USA,Oregon,"Turnaround, Cape Kiwanda, Tillamook County",45.21752,-123.97938,location
MEXICO,Baja California,Guadalupe Island,29.04521,-118.27754,location
SOUTH AFRICA,KwaZulu-Natal,Umlaas Canal,-28.83333,29.85,location
USA,California,San Francisco,37.7800771,-122.4201615,location
SOUTH AFRICA,Eastern Cape Province,Nahoon,-32.9871,27.93823,location
USA,South Carolina,"Isle of Palms, Charleston County",32.7884238,-79.7877544,location
NEW CALEDONIA,South Province,"Sarcelle, Isle of Pines",-22.60636,167.47765,location
BAHAMAS,Andros Islands,North Rat Cay Reef,24.98333,-77.93333,location
USA,California,"Moonstone Beach, Humboldt County",41.0301372,-124.1121609,location
USA,Florida,"Jupiter, Palm Beach County",26.9341448,-80.0997362,location
MARSHALL ISLANDS,Ralik Archipelago,Enewetak Atoll,11.5,162.25,location
NEW CALEDONIA,Unknown,Sarcelle,-22.204364604121,166.457223034616,location
USA,Florida,"Daytona Beach, Volusia County",29.2070854,-81.0207257,location
AUSTRALIA,South Australia,Coffin Bay,-34.616456333,135.481421862,location
USA,California,"Franklin Point, San Mateo County",37.14967,-122.36053,location
SOUTH AFRICA,KwaZulu-Natal,Durban,-29.8579,31.0292,location
USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui",20.9342774,-156.3560344,location
MOZAMBIQUE,Maputo Province,Inhaca Island,-26.00758,32.93281,location
USA,California,"Laguna Beach, Orange County",33.545844,-117.781731,location
SOUTH AFRICA,Western Cape Province,Mossel Bay,-34.18307,22.14605,location
MOZAMBIQUE,Limpopo River,3.2 km inland,-18.25,35.0,location
PAPUA NEW GUINEA,Gulf Province,Orokolo Bay,-7.88836,145.30558,location
