year,month,day,hour,latitude,longitude,sea_surface_temp,wind_speed,wave_height,wave_period,swell_height,swell_period,attack
2013,10,24,10.0,-33.7,151.6,20.0,9.8,2.0,2.0,2.0,2.0,0
2014,3,29,7.0,-32.8,115.4,21.5,16.5,,,,,0
2014,6,1,6.0,25.9,-79.9,28.5,11.3,1.0,2.0,,,0
2015,11,16,9.0,28.42,-80.59,25.5,4.1,,,,,0
2017,4,5,12.0,28.42,-80.59,24.3,4.1,,,,,0
2017,6,7,0.0,49.7,-3.3,13.2,16.5,,,,,0
2011,6,24,13.0,33.5,-117.8,19.0,,0.5,10.0,0.5,17.0,0
2012,3,20,13.0,-28.0,153.9,27.1,10.8,,,,,0
2015,8,22,14.83,28.5,-80.2,30.2,4.0,0.5,9.0,0.5,9.0,0
2011,6,6,0.15,32.5,-117.4,18.1,,1.0,10.0,1.0,11.0,0
2011,9,11,15.9,40.3,-124.7,10.3,,1.5,8.0,1.0,11.0,0
2012,4,1,8.0,26.65,-81.87,25.8,2.1,,,,,0
2013,9,8,12.0,32.0,-80.5,28.7,1.5,,,,,0
2015,9,4,20.0,-32.1,152.9,20.0,7.7,2.5,8.0,2.5,7.0,0
2016,6,2,23.0,-22.63,167.06,24.7,,,,,,0
2011,10,9,21.0,-31.9,115.5,19.2,11.8,,,,,0
2014,6,9,1.0,38.97,-74.96,22.3,3.1,,,,,0
2014,7,21,16.0,28.4,-80.6,29.0,3.6,,,,,0
2017,7,31,9.5,30.68,-81.47,26.4,3.6,,,,,0
2011,9,28,0.0,19.7,-68.9,29.0,10.3,1.0,1.0,1.0,1.0,0
2012,6,22,19.08,-43.35,147.63,13.7,,,,,,0
2012,12,28,16.0,-31.7,153.1,25.0,13.9,5.0,4.0,5.0,5.0,0
2013,7,30,6.0,32.5,-79.0,27.0,5.1,0.0,0.0,0.0,0.0,0
2014,4,15,9.0,28.42,-80.59,24.5,3.6,,,,,0
2014,8,12,20.0,29.72,-84.98,30.1,4.6,,,,,0
2014,10,14,22.83,31.4,-80.9,25.8,4.0,0.5,4.0,1.5,6.0,0
2012,6,26,19.0,28.9,-80.2,26.5,9.0,,,,,0
2014,10,2,7.98,34.5,-120.8,15.6,,1.5,10.0,1.5,11.0,0
2015,12,25,14.0,28.1,-15.4,20.3,7.0,,,,,0
2016,9,4,11.7,28.42,-80.59,28.6,1.0,,,,,0
2013,4,4,14.6,27.6,-80.2,22.1,,1.0,5.0,,,0
2013,12,2,18.0,20.9,-156.47,25.6,1.5,,,,,0
2015,7,3,18.0,-28.4,153.9,24.0,9.8,,,,,0
2016,5,22,13.0,27.86,-80.45,25.8,4.6,,,,,0
2016,7,7,8.83,42.3,-70.7,16.3,5.0,0.5,8.0,0.5,8.0,0
2016,9,5,8.13,33.8,-78.5,27.6,6.0,,,,,0
2011,3,10,0.0,27.6,33.9,20.0,7.7,1.0,4.0,1.0,3.0,0
2011,1,26,9.55,27.0,-78.7,18.9,0.7,1.0,3.0,,,0
2012,3,15,15.27,27.6,-80.2,23.4,,1.0,9.0,0.5,11.0,0
2012,3,24,6.0,28.42,-80.59,24.8,2.6,,,,,0
2012,7,14,10.08,-30.45,114.53,21.3,,,,,,0
2012,10,2,6.0,-31.1,115.2,20.0,7.7,1.5,4.0,,,0
2013,8,18,22.0,19.73,-155.06,26.2,4.1,,,,,0
2014,8,6,6.0,32.6,-79.2,28.0,9.8,,,,,0
2016,6,27,22.13,32.3,-80.4,28.4,,,,,,0
2017,4,14,9.4,21.95,-159.36,27.0,4.1,,,,,0
2012,7,31,19.0,33.72,-118.27,16.0,,,,,,0
2014,7,9,6.0,28.42,-80.59,29.3,2.6,,,,,0
2014,8,10,5.0,25.73,-80.16,31.0,4.1,,,,,0
2014,12,28,19.0,36.9,24.6,15.7,15.4,,,,,0
2015,1,3,12.0,-33.4,27.8,19.8,6.2,0.5,99.0,1.0,,0
2016,1,11,18.0,-27.4,153.1,26.5,2.1,,,,,0
2017,3,27,9.4,28.42,-80.59,22.0,1.5,,,,,0
2014,5,13,7.0,30.19,-81.69,27.2,3.1,,,,,0
2014,10,19,5.12,34.2,-119.4,21.1,,1.0,10.0,0.5,11.0,0
2015,7,1,18.9,35.21,-75.7,27.4,5.7,,,,,0
2016,8,29,12.0,29.0,-80.2,30.0,7.7,1.5,3.0,,,0
2016,11,14,2.15,21.0,-156.4,25.9,,1.0,10.0,1.0,12.0,0
2017,8,3,0.83,41.4,-70.2,21.6,,0.5,7.0,,,0
2012,7,19,19.0,49.3,-123.7,20.0,1.0,0.0,3.0,,,0
2012,11,4,19.0,21.95,-159.36,27.0,,,,,,0
2013,2,21,4.62,20.8,-157.0,24.3,,1.0,3.0,0.5,15.0,0
2015,1,27,2.12,21.0,-156.4,24.6,,2.0,8.0,1.5,13.0,0
2015,2,8,6.0,-28.7,154.0,27.2,6.2,,,1.5,10.0,0
2015,6,5,23.0,25.9,-79.8,26.0,8.2,2.0,6.0,2.0,6.0,0
2016,10,10,8.67,46.2,-124.1,13.2,2.0,,,,,0
2014,11,16,10.65,28.4,-80.5,21.6,,0.5,8.0,,,0
2015,9,20,3.2,30.4,-81.43,27.1,1.0,,,,,0
2016,3,3,12.0,-37.7,139.9,19.0,10.8,0.5,2.0,,,0
2016,5,3,9.65,21.0,-156.4,24.9,,1.5,9.0,0.5,11.0,0
2016,5,18,18.9,29.98,-81.63,28.1,3.1,,,,,0
2017,4,12,8.5,30.19,-81.69,22.7,,,,,,0
2017,4,20,4.13,32.8,-79.6,22.4,3.0,,,,,0
2011,5,10,20.0,26.09,-80.11,28.0,5.1,,,,,0
2013,4,24,0.0,21.3,-86.5,28.0,6.7,1.0,1.0,,,0
2013,9,1,1.0,30.4,-81.43,28.8,1.5,,,,,0
2015,8,18,4.0,38.4,0.2,27.4,1.5,,,,,0
2015,12,21,1.0,-33.7,152.2,25.0,5.1,,,1.5,6.0,0
2016,5,29,3.8,30.19,-81.69,27.6,2.6,,,,,0
2017,5,3,4.0,34.01,-118.5,15.7,0.5,,,,,0
2011,1,31,12.0,21.3,-86.3,24.6,4.6,0.5,2.0,1.5,6.0,0
2012,7,7,19.0,-38.1,144.9,11.1,8.2,,,,,0
2013,10,20,18.62,22.3,-159.6,26.9,,2.0,10.0,1.5,11.0,0
2013,10,26,11.7,-20.93,55.32,24.6,,,,,,0
2014,3,12,19.2,-33.57,152.11,26.0,,,,,,0
2015,9,24,14.0,34.3,-119.9,22.4,,,,,,0
2013,3,12,0.0,18.5,-77.7,26.5,9.3,,,,,0
2013,6,15,16.0,30.67,-81.47,27.4,2.1,,,,,0
2014,8,29,2.0,30.19,-81.69,29.4,2.1,,,,,0
2016,3,30,4.0,-34.2,151.6,24.0,3.6,0.5,3.0,0.5,3.0,0
2016,10,29,23.9,30.67,-81.47,23.9,,,,,,0
2016,12,27,1.0,27.7,-80.1,24.0,12.9,1.5,3.0,0.5,2.0,0
2017,6,21,6.13,32.3,-80.4,27.7,4.0,,,,,0
2011,6,6,5.0,28.42,-80.59,27.7,1.8,,,,,0
2012,6,26,5.0,26.61,-80.03,27.4,13.9,,,,,0
2012,8,8,1.0,25.03,-80.68,31.6,,,,,,0
2012,8,15,21.0,30.4,-87.21,30.6,3.1,,,,,0
2013,6,6,23.0,25.22,-80.65,30.3,,,,,,0
2013,9,7,15.0,28.42,-80.59,28.9,1.5,,,,,0
2013,10,19,6.0,26.0,-79.5,30.0,9.8,1.0,5.0,0.0,0.0,0
2014,11,13,19.62,21.0,-156.4,26.8,,1.5,9.0,2.0,14.0,0
2015,6,7,16.83,28.5,-80.2,27.5,4.0,0.5,8.0,0.5,8.0,0
2017,2,17,14.0,-27.2,153.2,29.0,8.7,,,,,0
2012,3,4,19.0,28.42,-80.59,21.9,6.2,,,,,0
2013,4,2,21.85,21.0,-156.4,23.4,,2.0,10.0,2.0,11.0,0
2014,7,13,6.0,26.4,-78.8,29.7,8.7,1.0,5.0,,,0
