attack_id,date,year,month,hour,country,area,location,activity,fatal,attack_latitude,attack_longitude,noaa_latitude,noaa_longitude,sea_surface_temp,wind_speed,wave_height,wave_period,swell_height,swell_period,distance_km
154,2012-04-19,2012.0,4.0,19.0,USA,Florida,"Indialantic, Brevard County",Surfing,0.0,28.0894482,-80.5660328,28.4,-80.5,23.3,,1.0,4.0,,,35.13241185633788
360,2014-03-18,2014.0,3.0,,AUSTRALIA,Victoria,Winkipop Beach,Surfing,0.0,-38.36808,144.28495,-38.3,144.8,18.8,,,,,,45.55715835588252
524,2015-06-27,2015.0,6.0,16.0,USA,North Carolina,"Rodanthe, Dare County",Swimming,0.0,35.594871,-75.467858,35.8,-75.55,26.5,11.3,,,,,23.985144936980863
635,2016-04-19,2016.0,4.0,12.0,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,0.0,-28.649318443,153.616858651,-29.5,153.7,28.0,7.7,0.5,5.0,2.5,9.0,94.93607287573742
108,2011-11-12,2011.0,11.0,,BRAZIL,Pernambuco,"Punta Del Chifre Beach, Olinda",Surfing,0.0,-8.0248,-34.8574,-8.7,-34.7,,7.7,,,2.0,14.0,77.04990035015147
209,2012-09-09,2012.0,9.0,14.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,0.0,29.029722,-80.9237495,28.42,-80.59,28.2,9.8,,,,,75.2043515779445
311,2013-08-31,2013.0,8.0,23.0,USA,California,"Butterfly Beach, Montecito, Santa Barbara County",Swimming,0.0,34.41762,-119.6492,34.41,-119.69,,,,,,,3.837435630004993
589,2015-11-10,2015.0,11.0,18.0,AUSTRALIA,New South Wales,East Ballina,Surfing,0.0,-28.861975125,153.585770216,-29.2,153.6,,4.1,,,,,37.612162774566976
685,2016-08-06,2016.0,8.0,16.0,USA,Hawaii,Maui,SUP Foil boarding,0.0,20.77024,-156.26816,20.9,-156.47,27.0,5.1,,,,,25.45934424234396
694,2016-09-05,2016.0,9.0,,AUSTRALIA,Western Australia,Injidup,Surfing,0.0,-31.693971366175,115.728988140668,-31.8,115.6,15.1,7.2,0.5,4.0,,,16.963621671755735
702,2016-09-17,2016.0,9.0,,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,0.0,40.741892,-124.210936,40.77,-124.22,14.2,4.1,,,,,3.2173664085693545
713,2016-10-15,2016.0,10.0,18.0,AUSTRALIA,Queensland,"Kings Beach, Caloundra",Surfing,0.0,-26.80074,153.14466,-26.68,153.12,17.5,,,,,,13.647198932369262
285,2013-06-25,2013.0,6.0,12.0,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,0.0,32.597707,-80.12948,32.69,-79.89,,7.2,,,,,24.659594923927646
351,2014-01-01,2014.0,1.0,,NEW ZEALAND,Unknown,Stewart Island,Filming a documentary,0.0,-46.898518146,168.124291069,-46.6,167.9,14.0,10.3,1.0,2.0,2.0,5.0,37.33426737961795
33,2011-05-13,2011.0,5.0,6.0,USA,Florida,"Ormond Beach, Volusia County",Surfing,0.0,29.2774764,-81.0417589,29.66,-81.22,,1.0,,,,,45.901530978728566
232,2012-12-05,2012.0,12.0,13.0,USA,Hawaii,Kauai,Surfing,0.0,22.04942,-159.53099,21.95,-159.36,26.2,,,,,,20.808372416024984
270,2013-05-04,2013.0,5.0,11.0,USA,Florida,"Melbourne Beach, Brevard County",Surfing,0.0,28.068399,-80.558423,27.86,-80.45,25.0,2.6,,,,,25.50244399392663
421,2014-08-27,2014.0,8.0,,SPAIN,Alicante,Benidorm,Swimming,0.0,38.5369002,-0.1291231,38.7,0.4,25.0,12.3,,,,,49.417691011742065
576,2015-10-13,2015.0,10.0,11.0,USA,California,"Off Leffingwell Landing, San Luis Obispo County",Fishing,0.0,35.5808,-121.11908,35.2,-120.9,17.8,,1.5,10.0,1.5,11.0,46.768889353771506
