year,month,day,hour,latitude,longitude,sea_surface_temp,wind_speed,wave_height,wave_period,swell_height,swell_period,attack
2013.0,8.0,17,12.0,37.4955,-122.498,22.7,1.5,1.0,5.0,1.0,9.5,1
2013.0,12.0,10,14.0,28.320224,-80.608867,22.3,6.2,1.0,5.0,1.0,9.5,1
2014.0,7.0,9,6.0,28.42,-80.59,29.3,2.6,1.0,5.0,1.0,9.5,0
2015.0,7.0,4,12.0,34.425619,-77.546911,26.0,8.2,1.0,5.0,1.0,9.5,1
2013.0,10.0,26,10.0,-31.807368069,115.745418335,19.4,5.0,1.0,5.0,1.0,9.5,1
2011.0,5.0,7,12.0,25.5,55.75,28.0,1.5,1.0,5.0,1.0,9.5,1
2017.0,3.0,1,12.0,24.6,-76.0,25.5,12.3,1.0,2.0,1.0,2.0,0
2012.0,8.0,11,7.57,-31.95,115.57,18.9,5.0,1.0,5.0,1.0,9.5,0
2014.0,7.0,9,14.0,29.029722,-80.9237495,29.3,2.6,1.0,5.0,1.0,9.5,1
2017.0,3.0,27,9.4,28.42,-80.59,22.0,1.5,1.0,5.0,1.0,9.5,0
2013.0,8.0,11,3.0,32.1,-79.7,28.0,9.3,1.0,10.0,1.0,9.5,0
2011.0,9.0,11,12.0,40.8062561,-124.1990911,13.1,5.0,1.0,5.0,1.0,9.5,1
2011.0,9.0,28,12.0,19.27228,-69.69389,29.0,10.3,1.0,1.0,1.0,1.0,1
2013.0,6.0,25,13.0,32.78,-79.93,28.1,3.1,1.0,5.0,1.0,9.5,0
2013.0,2.0,10,8.6,27.6,-80.2,23.0,5.0,1.0,6.0,0.5,11.0,0
2012.0,10.0,16,15.0,27.3,-79.9,29.0,7.7,1.0,5.0,1.0,9.5,0
2017.0,6.0,4,0.0,25.35,-81.1,30.0,5.0,1.0,5.0,1.0,9.5,0
2011.0,6.0,24,13.0,33.5,-117.8,19.0,5.0,0.5,10.0,0.5,17.0,0
2012.0,8.0,15,21.0,30.4,-87.21,30.6,3.1,1.0,5.0,1.0,9.5,0
2013.0,9.0,29,17.0,27.86,-80.45,28.0,3.1,1.0,5.0,1.0,9.5,0
2011.0,5.0,13,14.0,29.8,-81.3,25.1,4.1,1.0,5.0,1.0,9.5,0
2012.0,7.0,24,11.0,33.900049282896,-78.061581994137,25.8,3.1,1.0,5.0,1.0,9.5,1
2013.0,8.0,14,9.0,20.9,-156.47,26.5,5.7,1.0,5.0,1.0,9.5,0
2016.0,12.0,11,12.0,29.029722,-80.9237495,21.5,6.2,1.0,5.0,1.0,9.5,1
2015.0,6.0,14,17.0,33.912201,-78.106028,27.9,4.1,1.0,5.0,1.0,9.5,1
2014.0,10.0,20,19.5,20.8,-157.0,27.6,5.0,1.0,7.0,0.5,13.0,0
2011.0,9.0,30,9.0,18.489309,-66.794475,29.2,2.6,1.0,5.0,1.0,9.5,1
2015.0,6.0,26,1.0,32.04,-80.9,29.7,2.6,1.0,5.0,1.0,9.5,0
2015.0,6.0,30,0.0,-35.29,150.75,20.0,5.0,1.0,5.0,1.0,9.5,0
2016.0,6.0,7,9.13,32.8,-79.6,25.9,2.0,1.0,5.0,1.0,9.5,0
2012.0,1.0,18,9.0,-33.3,152.1,24.8,7.7,1.0,5.0,1.0,9.5,0
2016.0,5.0,29,15.0,30.3236,-81.4145,25.8,5.0,1.0,5.0,1.0,9.5,1
2015.0,9.0,29,16.0,29.9354428,-81.3019633,26.7,5.1,1.0,5.0,1.0,9.5,1
2012.0,9.0,24,12.0,28.260537,-80.604742,25.8,2.1,1.0,5.0,1.0,9.5,1
2015.0,7.0,26,19.0,29.2070854,-81.0207257,25.8,3.6,1.0,5.0,1.0,9.5,1
2012.0,9.0,10,12.0,-18.76685,-174.01902,26.3,3.6,1.0,5.0,1.0,9.5,1
2013.0,5.0,8,12.0,32.805066,-117.262228,18.6,4.1,1.0,5.0,1.0,9.5,1
2015.0,6.0,7,10.0,28.3418745,-80.6069311,28.6,1.0,1.0,5.0,1.0,9.5,1
2011.0,6.0,14,20.0,50.1,-6.1,14.1,9.3,0.5,7.0,1.0,9.5,0
2017.0,7.0,29,21.13,32.3,-80.4,28.8,8.0,1.0,5.0,1.0,9.5,0
2013.0,11.0,10,10.0,25.5,-76.4,27.0,15.9,4.5,3.0,4.0,4.0,0
2013.0,9.0,29,11.0,31.7877699,34.6432047,27.3,2.6,0.5,2.0,1.0,9.5,1
2016.0,9.0,5,12.0,33.77156218729,-78.776892695834,26.9,4.6,1.0,5.0,1.0,9.5,1
2013.0,9.0,29,10.0,28.068399,-80.558423,27.6,7.2,1.0,5.0,1.0,9.5,1
2011.0,6.0,29,10.0,-8.095247,-34.882149,27.0,5.1,1.5,7.0,1.5,9.0,1
2016.0,9.0,26,9.0,-28.87262,153.589881,25.8,5.7,1.0,5.0,1.0,9.5,1
2015.0,10.0,5,13.0,27.495976,-80.300539,28.1,5.0,1.0,10.0,1.0,11.0,1
2014.0,6.0,8,12.0,34.65919,137.24155,25.8,5.0,1.0,5.0,1.0,9.5,1
2011.0,6.0,6,12.0,32.8419914,-117.2730168,17.3,1.5,1.0,5.0,1.0,9.5,1
2016.0,6.0,21,20.17,28.4,-80.5,28.4,5.0,1.0,5.0,1.0,9.5,0
2012.0,11.0,30,9.0,20.7814563,-156.4626867,24.2,1.0,1.0,5.0,1.0,9.5,1
2015.0,7.0,3,9.0,-28.813397609,153.596179398,24.0,9.8,1.0,5.0,1.0,9.5,1
2013.0,11.0,22,17.0,44.63,-124.04,9.8,9.3,1.0,5.0,1.0,9.5,0
2014.0,1.0,4,12.0,24.78333,125.33333,25.0,8.7,1.0,5.0,1.0,9.5,1
2013.0,9.0,14,13.83,30.1,-87.6,29.5,6.0,0.5,3.0,0.5,6.0,0
2013.0,3.0,31,12.0,-33.4462,151.4447,23.4,8.2,1.0,5.0,1.0,9.5,1
2012.0,6.0,26,23.8,21.0,-156.4,24.3,5.0,2.0,8.0,0.5,11.0,0
2012.0,12.0,25,12.0,-31.3,30.2,26.0,16.5,3.5,5.0,3.5,6.0,0
2015.0,5.0,29,22.0,28.42,-80.59,28.1,6.2,1.0,5.0,1.0,9.5,0
2015.0,8.0,29,10.0,35.39185,-120.8664,17.4,5.0,0.5,10.0,1.0,14.0,1
2017.0,3.0,18,14.0,36.79996,-121.90107,13.2,5.0,1.0,5.0,1.0,9.5,1
2014.0,3.0,2,12.0,27.286106,-80.223526,22.6,5.0,1.0,10.0,0.5,11.0,1
2011.0,5.0,30,15.0,29.04247,-95.16965,28.2,7.7,1.0,5.0,1.0,9.5,1
2017.0,4.0,17,0.0,29.86,-81.27,23.6,5.7,1.0,5.0,1.0,9.5,0
2016.0,6.0,11,0.92,34.2,-76.9,26.6,5.0,0.5,7.0,1.0,9.5,0
2015.0,3.0,11,20.0,-28.0,153.8,29.0,9.8,1.5,8.0,1.0,9.0,0
2012.0,12.0,28,10.0,-31.718949063,152.794486937,25.0,13.9,5.0,4.0,5.0,5.0,1
2017.0,7.0,11,11.0,36.9741392,-122.028804,13.0,3.0,1.0,5.0,1.0,9.5,1
2013.0,8.0,13,13.0,20.85632,-156.82905,26.4,4.1,1.0,5.0,1.0,9.5,1
2014.0,4.0,22,5.33,28.5,-80.2,23.8,6.0,1.0,5.0,1.0,9.5,0
2017.0,1.0,3,18.0,-36.887418812,149.922226048,22.7,8.7,1.0,5.0,1.0,9.5,1
2012.0,9.0,6,17.83,30.0,-80.5,28.9,2.8,1.0,12.0,1.0,9.5,0
2013.0,4.0,2,8.0,20.921727262506,-156.693271826184,23.3,5.1,1.0,5.0,1.0,9.5,1
2014.0,8.0,12,11.0,29.688176,-85.264559,30.6,1.0,1.0,5.0,1.0,9.5,1
2014.0,8.0,9,13.0,28.3418745,-80.6069311,31.0,7.2,1.0,2.0,1.0,2.0,1
2016.0,9.0,18,15.0,28.42,-80.59,29.3,1.0,1.0,5.0,1.0,9.5,0
2012.0,7.0,7,15.0,-38.259560082,144.602645707,11.8,7.2,1.0,5.0,1.0,9.5,1
2011.0,4.0,13,12.0,-8.5037,114.9708,25.8,2.1,1.0,5.0,1.0,9.5,1
2015.0,3.0,16,10.0,-16.4914608,-151.7250209,30.0,7.7,1.0,5.0,1.0,9.5,1
2013.0,1.0,16,16.0,19.8500336,-155.9410579,26.3,1.0,1.0,5.0,1.0,9.5,1
2014.0,3.0,2,9.42,27.6,-80.2,22.1,5.0,1.0,9.0,0.5,11.0,0
2014.0,12.0,28,12.0,37.2604963,24.598761,15.7,4.1,1.0,5.0,1.0,9.5,1
2013.0,1.0,21,17.0,-27.0,153.3,26.9,5.1,1.0,5.0,1.0,9.5,0
2011.0,10.0,19,16.0,-37.89023,144.98456,25.8,13.4,1.0,5.0,1.0,9.5,1
2011.0,5.0,25,13.0,19.647367,-155.99301,27.2,8.1,1.0,5.0,1.0,9.5,1
2017.0,4.0,29,11.0,-21.195365751211,55.286273412274,27.3,15.4,3.0,8.0,4.0,15.0,1
2012.0,3.0,31,9.0,-33.466750662151,115.593223302818,25.8,4.6,1.0,5.0,2.5,14.0,1
2015.0,6.0,24,11.0,-28.63373,153.60035,17.0,5.1,1.0,3.0,1.0,3.0,1
2013.0,7.0,22,18.0,-8.7,-34.2,26.4,7.7,1.0,4.0,2.0,11.0,0
2013.0,3.0,16,12.0,-34.38634,19.13099,21.0,3.6,3.0,5.0,1.0,9.5,1
2012.0,10.0,19,12.0,28.300351108222,-80.70119487572,27.3,4.6,1.0,5.0,1.0,9.5,1
2013.0,3.0,21,12.0,25.08416,-76.13714,24.5,8.0,0.5,2.0,1.0,9.5,1
2015.0,11.0,15,0.0,26.8,-79.7,31.4,10.3,2.0,6.0,3.0,8.0,0
2011.0,9.0,24,10.0,33.8074384,-78.7152584,25.8,5.0,1.0,5.0,1.0,9.5,1
2016.0,7.0,6,14.0,28.068399,-80.558423,28.6,4.1,1.0,5.0,1.0,9.5,1
2012.0,6.0,26,5.0,26.61,-80.03,27.4,13.9,1.0,5.0,1.0,9.5,0
2014.0,10.0,31,7.93,20.65,-156.01,26.9,5.0,1.0,5.0,1.0,9.5,0
2017.0,6.0,21,12.0,32.137155763331,-80.764188065346,28.3,4.1,1.0,5.0,1.0,9.5,1
2016.0,3.0,13,12.0,33.7109249,-118.0654702,25.8,2.1,1.0,5.0,1.0,9.5,1
2017.0,4.0,14,9.0,21.9642,-159.7089,27.1,0.5,1.0,5.0,1.0,9.5,1
2014.0,9.0,3,18.0,41.92677,-70.53892,25.8,2.1,1.0,5.0,1.0,9.5,1
2013.0,11.0,12,0.0,-32.1,115.67,20.0,5.0,1.0,5.0,1.0,9.5,0
